2020-10-09/16:23:29		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:30		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:23:31		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:23:32		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:23:34		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:23:35		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:23:37		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-09/16:50:34		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:50:37		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:50:38		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:50:39		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:50:42		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:45		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:50:46		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-15/11:11:38		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-15/11:11:41		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:44		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-23/16:50:26		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-23/16:50:28		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-23/16:50:28		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-23/16:50:30		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-23/16:50:31		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-23/16:50:32		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-23/16:50:34		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-23/16:50:36		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-23/16:50:37		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-23/18:27:54		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-23/18:27:55		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-23/18:27:56		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-23/18:27:58		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-23/18:27:59		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-23/18:28:00		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-23/18:28:02		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-23/18:28:04		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-23/18:28:04		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-23/19:23:51		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-23/19:23:52		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-23/19:23:52		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-23/19:23:53		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-23/19:23:54		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-23/19:23:54		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-23/19:23:55		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-23/19:23:55		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-23/19:23:56		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-27/08:07:50		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-27/08:07:53		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-27/08:07:56		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-27/08:07:58		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-27/08:08:00		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-27/08:08:02		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-27/08:08:06		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-27/08:08:09		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-27/08:08:11		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-27/08:11:18		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-27/08:11:21		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-27/08:11:23		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-27/08:11:26		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-27/08:11:28		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-27/08:11:30		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-27/08:11:32		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-27/08:11:35		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-27/08:11:37		 wafer_29012020_050617.csv: File Transformed successfully!!
